year,eligibility_reason,stock_days,names
2010,ADV_FAIL,16603,144
2010,EARN_WINDOW,1613,206
2010,MCAP_FAIL,55332,261
2010,MISSING_LOOKBACK,40000,1000
2010,OK,131280,691
2010,PRICE_FAIL,7172,51
2011,ADV_FAIL,23047,178
2011,EARN_WINDOW,3802,488
2011,MCAP_FAIL,45716,183
2011,MISSING_LOOKBACK,960,24
2011,OK,169288,759
2011,PRICE_FAIL,9186,71
2012,ADV_FAIL,24994,196
2012,EARN_WINDOW,3612,503
2012,MCAP_FAIL,43099,174
2012,MISSING_LOOKBACK,1160,29
2012,OK,170223,777
2012,PRICE_FAIL,6911,50
2013,ADV_FAIL,29994,215
2013,EARN_WINDOW,3433,320
2013,MCAP_FAIL,27440,110
2013,MISSING_LOOKBACK,1280,32
2013,OK,185972,835
2013,PRICE_FAIL,3880,28
2014,ADV_FAIL,33109,245
2014,EARN_WINDOW,4874,641
2014,MISSING_LOOKBACK,1280,32
2014,OK,210113,940
2014,PRICE_FAIL,2624,19
2015,ADV_FAIL,24687,197
2015,EARN_WINDOW,8108,742
2015,MISSING_LOOKBACK,1600,40
2015,OK,215091,960
2015,PRICE_FAIL,2512,21
2016,ADV_FAIL,20424,172
2016,EARN_WINDOW,8577,773
2016,MISSING_LOOKBACK,1040,26
2016,OK,220092,972
2016,PRICE_FAIL,1692,23
2016,VOL_FAIL,173,3
2017,ADV_FAIL,15032,132
2017,EARN_WINDOW,9077,809
2017,MISSING_LOOKBACK,1120,28
2017,OK,224732,984
2017,PRICE_FAIL,978,8
2017,VOL_FAIL,61,2
2018,ADV_FAIL,7798,86
2018,EARN_WINDOW,9698,845
2018,MISSING_LOOKBACK,1120,28
2018,OK,231980,989
2018,PRICE_FAIL,376,7
2018,VOL_FAIL,27,1
2019,ADV_FAIL,6141,90
2019,EARN_WINDOW,9968,870
2019,MISSING_LOOKBACK,1280,32
2019,OK,233274,996
2019,PRICE_FAIL,1172,11
2019,VOL_FAIL,160,2
2020,ADV_FAIL,5898,77
2020,EARN_WINDOW,10050,884
2020,MISSING_LOOKBACK,1280,32
2020,OK,231711,995
2020,PRICE_FAIL,1699,44
2020,VOL_FAIL,2362,68
2021,ADV_FAIL,2100,44
2021,EARN_WINDOW,10741,923
2021,MISSING_LOOKBACK,1760,44
2021,OK,237233,996
2021,PRICE_FAIL,50,3
2021,VOL_FAIL,116,2
2022,ADV_FAIL,2061,39
2022,EARN_WINDOW,11009,946
2022,MISSING_LOOKBACK,1160,29
2022,OK,236414,998
2022,PRICE_FAIL,168,6
2022,VOL_FAIL,187,4
2023,ADV_FAIL,1730,25
2023,EARN_WINDOW,11363,971
2023,MISSING_LOOKBACK,1040,26
2023,OK,235282,998
2023,PRICE_FAIL,408,7
2023,VOL_FAIL,162,6
2024,ADV_FAIL,889,16
2024,EARN_WINDOW,11761,993
2024,MISSING_LOOKBACK,640,16
2024,OK,238382,999
2024,PRICE_FAIL,2,2
2024,VOL_FAIL,326,8
