year,A,B,C,total,pct_A,pct_B,pct_C,htb_share_pct
2010,108484,16511,6285,131280,82.64,12.58,4.79,17.36
2011,141994,19974,7320,169288,83.88,11.8,4.32,16.12
2012,144344,18405,7474,170223,84.8,10.81,4.39,15.2
2013,154836,19240,11896,185972,83.26,10.35,6.4,16.74
2014,173867,24118,12128,210113,82.75,11.48,5.77,17.25
2015,179249,25249,10593,215091,83.34,11.74,4.92,16.66
2016,179617,29382,11093,220092,81.61,13.35,5.04,18.39
2017,183863,29809,11060,224732,81.81,13.26,4.92,18.19
2018,197465,26736,7779,231980,85.12,11.53,3.35,14.88
2019,200563,24623,8088,233274,85.98,10.56,3.47,14.02
2020,207787,18159,5765,231711,89.68,7.84,2.49,10.32
2021,219495,14275,3463,237233,92.52,6.02,1.46,7.48
2022,223398,10692,2324,236414,94.49,4.52,0.98,5.51
2023,220214,12990,2078,235282,93.6,5.52,0.88,6.4
2024,224219,12010,2153,238382,94.06,5.04,0.9,5.94
