ticker,tier_c_days,mean_dsi,max_dsi,mean_dtcn,first_date,last_date
FFIN,2500,0.1124,0.1787,37.87,2010-03-03,2024-11-20
ENOV,1557,0.2832,0.5524,33.04,2012-01-11,2022-02-04
GME,1276,0.2861,0.4792,15.12,2013-04-02,2024-05-03
GATX,1186,0.1996,0.3302,28.16,2010-03-11,2020-12-31
PRAA,1110,0.1905,0.2811,27.65,2011-01-03,2017-12-29
WBD,1100,0.2047,0.363,11.83,2010-08-05,2022-05-05
X,1098,0.2712,0.4038,4.66,2010-12-06,2021-11-18
RH,1007,0.2725,0.372,8.4,2014-08-21,2020-12-31
MYGN,959,0.3582,0.5469,27.4,2013-10-04,2019-12-16
BFH,904,0.2434,0.3664,22.31,2010-03-03,2013-12-19
BKE,873,0.1454,0.2062,22.61,2010-03-03,2016-12-30
GGG,852,0.0476,0.0844,28.48,2010-03-08,2017-12-20
RLI,789,0.0667,0.0871,21.56,2010-04-05,2019-12-19
UAA,768,0.1942,0.3044,13.53,2012-08-20,2018-12-20
PENN,767,0.0719,0.4579,36.27,2010-04-05,2024-09-20
VSAT,765,0.125,0.1809,24.89,2011-02-24,2020-11-04
RMD,738,0.1647,0.2533,26.55,2010-12-06,2024-06-20
LGND,728,0.2678,0.4369,16.47,2014-06-06,2019-12-31
RBA,720,0.1359,0.1911,29.77,2010-03-03,2018-06-01
UBSI,712,0.1074,0.169,24.23,2011-12-07,2020-02-05
MD,699,0.0944,0.1546,31.71,2010-07-06,2017-05-18
ZD,697,0.1965,0.3019,29.51,2013-02-15,2021-05-05
CALM,696,0.2177,0.3576,20.98,2015-03-09,2019-12-31
OLED,694,0.219,0.3106,13.71,2011-12-19,2019-04-04
TPL,682,0.0297,0.0435,26.26,2020-07-20,2024-05-03
