window,aum,model,n_days,net_ann_return,net_ann_vol,net_sharpe,gross_sharpe,max_drawdown,avg_daily_turnover,avg_gross_exposure,frac_days_at_cap,borrow_sharpe_drag,basket_quantile,cost_round_trip_bps
oos_2019_2024,50000000,ridge_xgb_ensemble,1509,0.0058154601429105425,0.08302751150600761,0.0700425682695519,1.3301836179066246,-0.2499505048999039,0.999644169990647,0.999644169990647,0.0013253810470510272,0.04651974638362333,0.02,4.0
oos_2019_2024,50000000,xgboost_only,1509,0.01311288957783394,0.0832748639400244,0.15746515764082195,1.4126145568107467,-0.22523395250832656,0.9998851027431656,0.9998851027431656,0.0019880715705765406,0.04483350953256404,0.02,4.0
oos_2019_2024,250000000,ridge_xgb_ensemble,1509,0.03473744141534694,0.08199464089669026,0.4236550222729146,1.5245982895785335,-0.20179373302636994,0.8685038820667672,0.8685038820667672,0.3843605036447979,0.034103862647489436,0.02,4.0
oos_2019_2024,250000000,xgboost_only,1509,0.04066362093291968,0.08734176003717034,0.46556905786664154,1.5376203903322103,-0.1672120911936421,0.900450446248223,0.900450446248223,0.27634194831013914,0.03352037566619037,0.02,4.0
oos_2019_2024,1000000000,ridge_xgb_ensemble,1509,0.02695709144308983,0.061983264748426053,0.4349091896417792,1.0981721192551552,-0.13484001930671663,0.3956762974341954,0.3956762974341954,0.8939695162359178,0.020817292713861457,0.02,4.0
oos_2019_2024,1000000000,xgboost_only,1509,0.018683096668113536,0.07604196928337931,0.24569454005706756,0.9340581561160141,-0.19404082388012123,0.5030860691341361,0.5030860691341361,0.7939032471835653,0.021787228612367593,0.02,4.0
test_2022_2024,50000000,ridge_xgb_ensemble,752,-0.024610300657123583,0.08094382077980604,-0.30404174673285733,0.9796663797089484,-0.19114760642461504,1.0,1.0,0.0,0.03839997284958385,0.02,4.0
test_2022_2024,50000000,xgboost_only,752,-0.02094312974262143,0.07562511949933687,-0.27693350941157957,1.0976837453297659,-0.14450426022762486,1.0,1.0,0.0,0.04172679893341913,0.02,4.0
test_2022_2024,250000000,ridge_xgb_ensemble,752,-0.017404294509314994,0.07684806271148814,-0.22647668523091086,1.004347352568514,-0.15476257856697273,0.9138755879053437,0.9138755879053437,0.2912234042553192,0.03209667790551762,0.02,4.0
test_2022_2024,250000000,xgboost_only,752,-0.0029894667088358074,0.08214449528337187,-0.036392781993767415,1.1458456006797149,-0.10745974583823992,0.9365174301301535,0.9365174301301535,0.21010638297872342,0.033160698151959433,0.02,4.0
test_2022_2024,1000000000,ridge_xgb_ensemble,752,-0.016594077971849818,0.04898214651411824,-0.3387780886055467,0.5230928575830182,-0.0947566403757708,0.40778440039443686,0.40778440039443686,0.910904255319149,0.022502541907263418,0.02,4.0
test_2022_2024,1000000000,xgboost_only,752,-0.03585982762894414,0.06451881558688564,-0.5558041836749581,0.3164704725481383,-0.1193624204961683,0.5419498716862587,0.5419498716862587,0.7672872340425532,0.025012669675463672,0.02,4.0
